source_doc_id,risk_or_open_question,file
AOS-VSN-003,Unverified source claims can become architecture accidentally.,AOS-VSN-003.md
AOS-VOL-01,Undefined ownership and failure semantics create hidden coupling.,AOS-VOL-01.md
AOS-VOL-01,Unverified source claims can become architecture accidentally.,AOS-VOL-01.md
AOS-VOL-02,Undefined ownership and failure semantics create hidden coupling.,AOS-VOL-02.md
AOS-VOL-02,Unverified source claims can become architecture accidentally.,AOS-VOL-02.md
AOS-VOL-03,Undefined ownership and failure semantics create hidden coupling.,AOS-VOL-03.md
AOS-VOL-03,Unverified source claims can become architecture accidentally.,AOS-VOL-03.md
AOS-VOL-04,Undefined ownership and failure semantics create hidden coupling.,AOS-VOL-04.md
AOS-VOL-04,Unverified source claims can become architecture accidentally.,AOS-VOL-04.md
AOS-VOL-05,Interoperability exceptions are conditional and jurisdiction-specific.,AOS-VOL-05.md
AOS-VOL-05,A technical ability to extract or observe does not establish a right to publish or redistribute.,AOS-VOL-05.md
AOS-VOL-05,Public branding before clearance can create rework and liability.,AOS-VOL-05.md
AOS-VOL-06,False precision in long-range dates hides unknown hardware work.,AOS-VOL-06.md
AOS-VOL-06,Large epics can mask stalled evidence.,AOS-VOL-06.md
AOS-VOL-06,Parallel tracks can duplicate interfaces without conformance ownership.,AOS-VOL-06.md
AOS-VOL-07,Undefined ownership and failure semantics create hidden coupling.,AOS-VOL-07.md
AOS-VOL-07,Unverified source claims can become architecture accidentally.,AOS-VOL-07.md
AOS-VOL-08,Community expectations can exceed project capacity.,AOS-VOL-08.md
AOS-VOL-08,Unreviewed contributions can contaminate provenance.,AOS-VOL-08.md
AOS-VOL-08,Funding can distort architecture or public claims.,AOS-VOL-08.md
AOS-VOL-09,Duplicated Wiki copies can drift.,AOS-VOL-09.md
AOS-VOL-09,Renamed headings can break deep links.,AOS-VOL-09.md
AOS-VOL-09,Machine-generated volume can obscure review status.,AOS-VOL-09.md
AOS-VOL-10,Passing mocks can conceal backend divergence.,AOS-VOL-10.md
AOS-VOL-10,Benchmarks without thermal/power/configuration metadata are not comparable.,AOS-VOL-10.md
AOS-VOL-10,Verification scope can be overstated.,AOS-VOL-10.md
